Game Number,Score,Tiles Closed,Rolls,Moves
254,38,3,"[(3, 4), (1, 3)]","[(1, 2, 4)]"
255,31,4,"[(2, 3), (3, 6), (3, 4)]","[(1, 4), (2, 7)]"
256,38,3,"[(5, 2), (1, 3)]","[(1, 2, 4)]"
257,0,9,"[(4, 6), (1, 4), (3, 3), (2, 5), (5, 4), (2, 6)]","[(1, 2, 3, 4), (5,), (6,), (7,), (9,), (8,)]"
258,40,2,"[(1, 4), (3, 1)]","[(1, 4)]"
259,27,5,"[(6, 4), (6, 2), (5, 3)]","[(1, 2, 3, 4), (8,)]"
260,21,6,"[(3, 5), (4, 5), (3, 4), (5, 2)]","[(1, 2, 5), (3, 6), (7,)]"
261,15,7,"[(2, 6), (4, 4), (1, 6), (4, 3), (4, 3)]","[(1, 2, 5), (8,), (3, 4), (7,)]"
262,17,7,"[(2, 2), (6, 1), (6, 1), (1, 3), (2, 4), (1, 6)]","[(1, 3), (2, 5), (7,), (4,), (6,)]"
263,32,4,"[(5, 2), (1, 5), (3, 3)]","[(1, 2, 4), (6,)]"
264,36,3,"[(4, 5), (3, 3)]","[(1, 2, 6)]"
265,17,7,"[(5, 6), (1, 6), (5, 5), (5, 6)]","[(1, 2, 3, 5), (7,), (4, 6)]"
266,33,4,"[(3, 1), (5, 3), (1, 5)]","[(1, 3), (2, 6)]"
267,33,4,"[(2, 2), (6, 2), (6, 4)]","[(1, 3), (2, 6)]"
268,26,5,"[(4, 5), (5, 5), (4, 6)]","[(1, 2, 6), (3, 7)]"
269,27,5,"[(2, 6), (1, 3), (3, 3), (5, 1)]","[(1, 2, 5), (4,), (6,)]"
270,12,7,"[(3, 4), (3, 3), (1, 4), (2, 6), (4, 3), (3, 5)]","[(1, 2, 4), (6,), (5,), (8,), (7,)]"
271,18,6,"[(4, 1), (4, 3), (2, 5), (4, 4), (6, 4)]","[(1, 4), (2, 5), (7,), (8,)]"
272,31,4,"[(1, 1), (4, 3), (3, 2), (1, 5)]","[(2,), (1, 6), (5,)]"
273,30,5,"[(1, 1), (2, 2), (6, 3), (6, 6)]","[(2,), (1, 3), (4, 5)]"
274,24,6,"[(6, 3), (4, 4), (3, 1), (2, 2)]","[(1, 2, 6), (3, 5), (4,)]"
275,37,3,"[(4, 4), (4, 1)]","[(1, 2, 5)]"
276,19,6,"[(3, 5), (5, 3), (1, 3), (2, 4), (3, 3)]","[(1, 2, 5), (8,), (4,), (6,)]"
277,22,6,"[(3, 4), (5, 2), (6, 3), (6, 6)]","[(1, 2, 4), (7,), (3, 6)]"
278,13,7,"[(1, 5), (3, 2), (5, 2), (6, 2), (5, 1), (5, 6)]","[(1, 2, 3), (5,), (7,), (8,), (6,)]"
279,16,7,"[(3, 1), (4, 4), (6, 3), (6, 2), (3, 5)]","[(1, 3), (2, 6), (4, 5), (8,)]"
280,23,6,"[(2, 5), (6, 2), (1, 6), (2, 2)]","[(1, 2, 4), (3, 5), (7,)]"
281,24,6,"[(3, 5), (5, 1), (4, 3), (2, 1)]","[(1, 2, 5), (6,), (3, 4)]"
282,29,5,"[(4, 2), (6, 4), (1, 2)]","[(1, 2, 3), (4, 6)]"
283,18,6,"[(1, 5), (1, 6), (2, 6), (5, 1), (6, 5)]","[(1, 2, 3), (7,), (8,), (6,)]"
284,23,6,"[(1, 4), (6, 4), (4, 3), (1, 4)]","[(1, 4), (2, 3, 5), (7,)]"
285,30,5,"[(4, 2), (3, 6), (6, 4)]","[(1, 2, 3), (4, 5)]"
286,28,5,"[(5, 5), (3, 4), (1, 6)]","[(1, 2, 3, 4), (7,)]"
287,25,5,"[(2, 5), (5, 2), (4, 2), (6, 4)]","[(1, 2, 4), (7,), (6,)]"
288,23,5,"[(4, 5), (2, 2), (5, 4), (6, 3)]","[(1, 2, 6), (4,), (9,)]"
289,28,5,"[(6, 6), (2, 3), (1, 2)]","[(1, 2, 3, 6), (5,)]"
290,26,5,"[(6, 4), (5, 4), (4, 5)]","[(1, 2, 3, 4), (9,)]"
291,10,7,"[(3, 5), (6, 2), (4, 6), (3, 6), (2, 3)]","[(1, 2, 5), (8,), (3, 7), (9,)]"
292,26,5,"[(5, 3), (6, 2), (2, 1), (4, 4)]","[(1, 2, 5), (8,), (3,)]"
293,33,4,"[(1, 1), (5, 5), (1, 2)]","[(2,), (1, 3, 6)]"
294,5,8,"[(4, 2), (5, 2), (6, 6), (4, 5), (5, 1), (3, 3)]","[(1, 2, 3), (7,), (4, 8), (9,), (6,)]"
295,19,6,"[(2, 5), (4, 1), (2, 6), (5, 1), (3, 5)]","[(1, 2, 4), (5,), (8,), (6,)]"
296,29,5,"[(5, 2), (4, 5), (1, 2)]","[(1, 2, 4), (3, 6)]"
297,23,6,"[(1, 4), (5, 4), (6, 2), (2, 1)]","[(1, 4), (2, 7), (3, 5)]"
298,18,6,"[(3, 3), (5, 3), (1, 3), (3, 6), (1, 1)]","[(1, 2, 3), (8,), (4,), (9,)]"
299,25,5,"[(2, 6), (6, 6), (6, 3)]","[(1, 2, 5), (3, 9)]"
300,21,6,"[(5, 3), (6, 6), (1, 3), (4, 1)]","[(1, 2, 5), (3, 9), (4,)]"
301,28,5,"[(5, 4), (6, 2), (2, 4)]","[(1, 2, 6), (3, 5)]"
302,0,9,"[(1, 5), (4, 3), (1, 5), (3, 6), (5, 3), (4, 5)]","[(1, 2, 3), (7,), (6,), (4, 5), (8,), (9,)]"
303,24,6,"[(2, 6), (5, 2), (4, 2), (5, 1)]","[(1, 2, 5), (3, 4), (6,)]"
304,28,5,"[(5, 5), (3, 4), (3, 1)]","[(1, 2, 3, 4), (7,)]"
305,35,4,"[(2, 1), (4, 3), (1, 1)]","[(1, 2), (3, 4)]"
306,21,6,"[(5, 1), (3, 6), (4, 5), (6, 4)]","[(1, 2, 3), (4, 5), (9,)]"
307,32,4,"[(4, 1), (1, 1), (1, 5), (1, 3)]","[(1, 4), (2,), (6,)]"
